name,mass,radius,orbital_period,star_name,star_distance,star_age
Kepler-107 b,0.01104,0.137,3.1800218,Kepler-107,525.5,4.29
Kepler-107 c,0.02954,0.142,4.901452,Kepler-107,525.5,4.29
Kepler-107 d,0.01196,0.077,7.95839,Kepler-107,525.5,4.29
Kepler-107 e,0.02706,0.259,14.749143,Kepler-107,525.5,4.29
Kepler-109 Ab,0.02297,0.211,6.48163,Kepler-109 A,474.861,6.2
Kepler-109 Ac,0.06859,0.225,21.2227,Kepler-109 A,474.861,6.2
Kepler-10 b,0.01019,0.1311,0.837491,Kepler-10,186.5,10.6
Kepler-10 c,0.03552,0.2101,45.2943,Kepler-10,186.5,10.6
Kepler-113 b,0.037,0.162,4.754,Kepler-113,264.35,6.89
Kepler-113 c,0.02737,0.194,8.92507,Kepler-113,264.35,6.89
Kepler-117 b,0.094,0.719,18.7959228,Kepler-117,1430.0,5.3
Kepler-117 c,1.84,1.101,50.790391,Kepler-117,1430.0,5.3
Kepler-11 b,0.006,0.161,10.3039,Kepler-11,658.59,8.5
Kepler-11 c,0.009,0.256,13.0241,Kepler-11,658.59,8.5
Kepler-11 d,0.023,0.278,22.6845,Kepler-11,658.59,8.5
Kepler-11 e,0.025,0.374,31.9996,Kepler-11,658.59,8.5
Kepler-11 f,0.006,0.222,46.6888,Kepler-11,658.59,8.5
Kepler-11 g,0.079,0.297,118.3807,Kepler-11,658.59,8.5
Kepler-1229 Ab,0.00799,0.1195,86.82974,Kepler-1229 A,265.482,3.72
Kepler-12 b,0.432,1.754,4.4379629,Kepler-12,904.4,4.0
Kepler-131 b,0.051,0.215,16.092,Kepler-131,230.19,3.66
Kepler-131 c,0.026,0.075,25.5169,Kepler-131,230.19,3.66
Kepler-145 b,0.117,0.236,22.951,Kepler-145,576.15,2.62
Kepler-145 c,0.25,0.385,42.882,Kepler-145,576.15,2.62
Kepler-14 Ab,8.4,1.136,6.790123,Kepler-14 A,980.0,2.2
Kepler-1513 Ab,0.152,0.76671,160.8842,Kepler-1513 A,349.247,7.0
Kepler-1514 b,5.28,1.108,217.83184,Kepler-1514,389.3,2.9
Kepler-15 b,0.66,0.96,4.942782,Kepler-15,755.38,3.7
Kepler-1625 b,11.6,0.541,287.378949,Kepler-1625,1213.0,4.37
Kepler-1647 (AB)b,1.52,1.06,1107.5923,Kepler-1647 (AB),1212.45,4.4
Kepler-1654 b,0.5,0.819,1047.8356,Kepler-1654,577.6,5.0
Kepler-1655 b,0.01573,0.197,11.8728787,Kepler-1655,214.58,2.56
Kepler-1656 b,0.1504,0.448,31.562,Kepler-1656,186.88,6.31
Kepler-1657 b,1.93,0.99,141.241671,Kepler-1657,946.59,3.2
Kepler-167 Ae,4.0,0.9064,1071.23205,Kepler-167 A,330.0,7.1
Kepler-1704 b,4.16,1.066,988.88112,Kepler-1704,824.0,7.4
Kepler-1708 b,4.6,0.8886,737.1131,Kepler-1708,1667.0,3.16
Kepler-1710 Ab,0.010997,0.2308,14.91094205,Kepler-1710 A,305.193,9.1
Kepler-17 b,2.45,1.31,1.4857108,Kepler-17,800.0,1.78
Kepler-1876 b,0.0076,0.0761,6.99205,Kepler-1876,259.9,4.4
Kepler-18 b,0.022,0.178,3.504725,Kepler-18,438.51,10.0
Kepler-18 c,0.054,0.49,7.64159,Kepler-18,438.51,10.0
Kepler-18 d,0.052,0.623,14.85888,Kepler-18,438.51,10.0
Kepler-1971 b,0.00107,0.0455,0.412,Kepler-1971,170.66,3.5
Kepler-1972 Ab,0.00636,0.07155,7.54425,Kepler-1972 A,287.339,7.4
Kepler-1972 Ac,0.00664,0.07744,11.3295,Kepler-1972 A,287.339,7.4
Kepler-197 Ac,0.017,0.11669,10.34973276,Kepler-197 A,330.575,5.37
Kepler-19 b,0.02643,0.198,9.28716,Kepler-19,219.95,1.9
Kepler-20 Ab,0.029963,0.17905,3.6961049,Kepler-20 A,282.563,5.6
Kepler-20 Ac,0.0349,0.2569,10.8540774,Kepler-20 A,282.563,5.6
Kepler-20 Ad,0.040733,0.22232,77.611455,Kepler-20 A,282.563,5.6
Kepler-20 Ae,0.0097,0.06994,6.0984882,Kepler-20 A,282.563,5.6
Kepler-20 Af,0.045,0.08404,19.578328,Kepler-20 A,282.563,5.6
Kepler-21 Ab,0.02102,0.1472,2.785823,Kepler-21 A,108.522,2.84
Kepler-22 b,0.0286,0.187,289.863876,Kepler-22,194.642,7.0
Kepler-25 Ab,0.034013,0.24124,6.238297,Kepler-25 A,244.96,2.75
Kepler-25 Ac,0.075805,0.4128,12.7207,Kepler-25 A,244.96,2.75
Kepler-289 b,0.023,0.192,34.545,Kepler-289,700.0,0.65
Kepler-289 c,0.42,1.034,125.8518,Kepler-289,700.0,0.65
Kepler-289 d,0.013,0.239,66.0634,Kepler-289,700.0,0.65
Kepler-30 b,0.036,0.348,29.33434,Kepler-30,938.33,2.0
Kepler-30 c,2.01,1.097,60.323105,Kepler-30,938.33,2.0
Kepler-30 d,0.073,0.785,143.34394,Kepler-30,938.33,2.0
Kepler-36 b,0.01205,0.134,13.86825,Kepler-36,470.0,6.923
Kepler-36 c,0.02243,0.328,16.21865,Kepler-36,470.0,6.923
Kepler-37 b,0.01,0.026,13.36731,Kepler-37,64.04,6.0
Kepler-37 c,0.03776,0.067,21.302,Kepler-37,64.04,6.0
Kepler-37 d,0.017,0.173,39.7922,Kepler-37,64.04,6.0
Kepler-406 b,0.02,0.128,2.42629,Kepler-406,367.86,5.84
Kepler-406 c,0.009,0.076,4.62332,Kepler-406,367.86,5.84
Kepler-407 Ab,0.005251,0.10358,0.669310092,Kepler-407 A,341.69,7.47
Kepler-408 b,0.01573,0.073,2.46502,Kepler-408,89.01,6.68
Kepler-409 b,0.06922,0.106,68.9584,Kepler-409,68.31,6.8
Kepler-40 b,2.2,1.17,6.87349,Kepler-40,2700.0,2.8
Kepler-411 Ab,0.0805,0.16647,3.005156,Kepler-411 A,153.676,0.212
Kepler-411 Ac,0.0831,0.28888,7.834435,Kepler-411 A,153.676,0.212
Kepler-411 Ad,0.04782,0.30119,58.02035,Kepler-411 A,153.676,0.212
Kepler-412 b,0.941,1.341,1.7208604,Kepler-412,1121.32,5.1
Kepler-414 b,0.011,0.153,4.7,Kepler-414,418.44,5.5
Kepler-414 c,0.094,0.269,7.171,Kepler-414,418.44,5.5
Kepler-418 b,1.1,1.2,86.67856,Kepler-418,1002.53,4.47
Kepler-419 b,2.5,0.96,69.7546,Kepler-419,1041.31,2.8
Kepler-41 b,0.56,1.29,1.8555582,Kepler-41,1128.11,4.4
Kepler-420 Ab,1.45,0.94,86.647661,Kepler-420 A,900.0,9.3
Kepler-423 b,0.595,1.192,2.6843285,Kepler-423,725.0,11.0
Kepler-425 b,0.25,0.978,3.79701816,Kepler-425,650.0,5.0
Kepler-426 b,0.34,1.09,3.21751883,Kepler-426,880.0,6.0
Kepler-427 b,0.29,1.23,10.290994,Kepler-427,1100.0,7.0
Kepler-428 b,1.27,1.08,3.52563254,Kepler-428,720.0,5.0
Kepler-42 b,0.009,0.07,1.2137672,Kepler-42,38.7,4.5
Kepler-42 c,0.006,0.065,0.45328509,Kepler-42,38.7,4.5
Kepler-42 d,0.003,0.051,1.865169,Kepler-42,38.7,4.5
Kepler-432 b,5.41,1.145,52.501129,Kepler-432,870.0,4.2
Kepler-433 b,2.82,1.45,5.33408384,Kepler-433,1870.0,2.67
Kepler-434 b,2.86,1.13,12.8747099,Kepler-434,1240.0,4.0
Kepler-435 b,0.84,1.99,8.6001536,Kepler-435,2070.0,2.25
Kepler-43 b,3.23,1.219,3.0240949,Kepler-43,1035.9,2.8
Kepler-448 b,1.1,1.23,17.855182,Kepler-448,399.398,1.45
Kepler-44 b,1.0,1.09,3.2467293,Kepler-44,1229.15,5.8
Kepler-454 Ab,0.017,0.2114,10.5737534,Kepler-454 A,230.869,5.25
Kepler-45 b,0.505,0.96,2.455239,Kepler-45,333.0,0.5
Kepler-462 b,0.16959,0.268,84.6866,Kepler-462,598.0,0.5
Kepler-462 c,0.01888,0.357,207.62,Kepler-462,598.0,0.5
Kepler-46 b,6.0,0.808,33.60134,Kepler-46,794.54,9.9
Kepler-48 b,0.0124,0.168,4.778,Kepler-48,309.47,3.14
Kepler-48 c,0.04597,0.242,9.67395,Kepler-48,309.47,3.14
Kepler-48 d,0.025,0.182,42.8961,Kepler-48,309.47,3.14
Kepler-4 b,0.077,0.357,3.21346,Kepler-4,550.0,4.5
Kepler-50 b,0.1,0.153,7.81254,Kepler-50,251.91,3.8
Kepler-50 c,0.11,0.194,9.37647,Kepler-50,251.91,3.8
Kepler-51 b,0.007,0.633,45.154,Kepler-51,783.831,0.5
Kepler-51 c,0.013,0.803,85.312,Kepler-51,783.831,0.5
Kepler-51 d,0.024,0.865,130.194,Kepler-51,783.831,0.5
Kepler-52 Ab,0.25,0.187,7.8773565,Kepler-52 A,321.542,1.01
Kepler-52 Ac,0.198,0.164,16.3850021,Kepler-52 A,321.542,1.01
Kepler-538 Ab,0.03335,0.198,81.73778,Kepler-538 A,155.956,5.3
Kepler-539 b,0.97,0.747,125.63243,Kepler-539,310.01,1.1
Kepler-54 Ab,0.92,0.187,8.0109434,Kepler-54 A,271.7,4.17
Kepler-54 Ac,0.37,0.11,12.0717249,Kepler-54 A,271.7,4.17
Kepler-55 Ab,0.1353,0.17,27.9541337,Kepler-55 A,578.796,2.34
Kepler-55 Ac,0.2196,0.165,42.1406089,Kepler-55 A,578.796,2.34
Kepler-56 b,0.07,0.581,10.5016,Kepler-56,936.96,3.5
Kepler-56 c,0.57,0.874,21.40239,Kepler-56,936.96,3.5
Kepler-62 b,0.03,0.117,5.714932,Kepler-62,368.0,7.0
Kepler-62 c,0.013,0.048,12.4417,Kepler-62,368.0,7.0
Kepler-62 d,0.044,0.174,18.16406,Kepler-62,368.0,7.0
Kepler-62 e,0.113,0.144,122.3874,Kepler-62,368.0,7.0
Kepler-62 f,0.11,0.126,267.291,Kepler-62,368.0,7.0
Kepler-63 b,0.378,0.545,9.4341505,Kepler-63,200.0,0.21
Kepler-65 d,0.034,0.136,8.13123,Kepler-65,306.39,2.9
Kepler-66 b,0.047,0.25,17.815815,Kepler-66,1107.0,1.0
Kepler-67 b,0.047,0.262,15.7259,Kepler-67,1107.0,1.0
Kepler-68 b,0.02407,0.206,5.3988,Kepler-68,144.166,6.84
Kepler-68 c,0.00642,0.0827,9.6051,Kepler-68,144.166,6.84
Kepler-6 b,0.668,1.304,3.2346996,Kepler-6,597.14,3.8
Kepler-70 b,0.0014,0.068,0.240104,Kepler-70,1180.0,0.0184
Kepler-70 c,0.0021,0.077,0.342887,Kepler-70,1180.0,0.0184
Kepler-74 b,0.63,0.96,7.340711,Kepler-74,1218.33,0.8
Kepler-75 b,10.1,1.05,8.8849116,Kepler-75,855.5,6.2
Kepler-77 b,0.43,0.96,3.57878087,Kepler-77,570.0,7.5
Kepler-78 Ab,0.00619,0.1,0.35500744,Kepler-78 A,124.376,0.625
Kepler-79 b,0.0343,0.31,13.4845,Kepler-79,1051.43,3.44
Kepler-79 c,0.019,0.332,27.4029,Kepler-79,1051.43,3.44
Kepler-79 d,0.019,0.639,52.0902,Kepler-79,1051.43,3.44
Kepler-79 e,0.013,0.311,81.0659,Kepler-79,1051.43,3.44
Kepler-7 b,0.441,1.622,4.8854892,Kepler-7,947.46,3.5
Kepler-80 b,0.0218,0.238,7.05246,Kepler-80,357.0,2.0
Kepler-80 c,0.02121,0.244,9.52355,Kepler-80,357.0,2.0
Kepler-80 d,0.02124,0.136,3.07222,Kepler-80,357.0,2.0
Kepler-80 e,0.01299,0.143,4.64489,Kepler-80,357.0,2.0
Kepler-84 Ac,0.0636,0.281,12.88291395,Kepler-84 A,1053.44,3.98
Kepler-87 b,1.02,1.204,114.73635,Kepler-87,1277.88,7.5
Kepler-87 c,0.02,0.548,191.2318,Kepler-87,1277.88,7.5
Kepler-88 b,0.03,0.307,10.91647,Kepler-88,339.0,2.45
Kepler-89 Ab,0.018115,0.14613,3.743208,Kepler-89 A,477.052,3.31
Kepler-89 Ac,0.019528,0.34473,10.423648,Kepler-89 A,477.052,3.31
Kepler-89 Ad,0.2504561,0.91989,22.342989,Kepler-89 A,477.052,3.31
Kepler-89 Ae,0.0254662,0.54564,54.32031,Kepler-89 A,477.052,3.31
Kepler-8 b,0.59,1.416,3.5224991,Kepler-8,1052.9,3.84
Kepler-91 b,0.81,1.367,6.24658,Kepler-91,1344.56,4.86
Kepler-92 Ab,0.202,0.313,13.749,Kepler-92 A,484.62,5.52
Kepler-92 Ac,0.019,0.232,26.723,Kepler-92 A,484.62,5.52
Kepler-93 b,0.0143,0.14,4.72674,Kepler-93,96.18,6.6
Kepler-94 b,0.034,0.313,2.50806,Kepler-94,192.97,1.41
Kepler-96 b,0.027,0.238,16.2385,Kepler-96,123.32,2.34
Kepler-974 c,0.00217,0.0544,0.1768913,Kepler-974,134.311,4.79
Kepler-97 Ab,0.011,0.132,2.58664,Kepler-97 A,405.58,8.42
Kepler-98 b,0.011,0.178,1.54168,Kepler-98,353.87,2.79
Kepler-99 Bb,0.0119971,0.16166,4.60358,Kepler-99 B,208.369,4.27
Kepler-9 b,0.13655,0.74,19.23891,Kepler-9,614.0,2.0
Kepler-9 c,0.09408,0.721,38.9853,Kepler-9,614.0,2.0
Kepler-9 d,0.016518264481,0.146,1.592851,Kepler-9,614.0,2.0
L 98-59 b,0.0013,0.0758,2.2531136,L 98-59,10.623,5.4
L 98-59 c,0.00698,0.12356,3.6906777,L 98-59,10.623,5.4
L 98-59 d,0.0061,0.1357,7.4507245,L 98-59,10.623,5.4
LHS 1140 b,0.02196,0.15407,24.736,LHS 1140,12.47,5.0
LHS 1140 c,0.00569,0.11437,3.777931,LHS 1140,12.47,5.0
LP 791-18 c,0.0223,0.2061,4.989963,LP 791-18,26.493,0.5
LP 791-18 d,0.0028,0.0919,2.75485,LP 791-18,26.493,0.5
LP 890-9 b,0.0415,0.1178,2.7299025,LP 890-9,32.33,7.2
LP 890-9 c,0.0796,0.12196,8.457463,LP 890-9,32.33,7.2
LTT 3780 b,0.00774,0.11821,0.76837931,LTT 3780,22.04,3.1
LTT 3780 c,0.0253,0.2132,12.252284,LTT 3780,22.04,3.1
MASCARA-1 b,3.7,1.5,2.14878,MASCARA-1,188.7,1.0
MASCARA-3 Ab,5.18,1.272,5.5514926,MASCARA-3 A,96.79,2.81
MASCARA-4 Ab,1.675,1.53,2.82406,MASCARA-4 A,171.54,0.8
NGTS-11 b,0.37,0.823,35.455285,NGTS-11,191.5,3.9
NGTS-12 b,0.208,1.048,7.532806,NGTS-12,452.0,9.4
NGTS-13 b,4.84,1.142,4.119027,NGTS-13,657.0,4.23
NGTS-14 Ab,0.092,0.44,3.5357173,NGTS-14 A,325.1,5.9
NGTS-15 b,0.751,1.1,3.27623,NGTS-15,791.0,3.28
NGTS-16 b,0.667,1.3,4.84532,NGTS-16,892.0,10.29
NGTS-17 b,0.764,1.24,3.24253,NGTS-17,1047.0,9.22
NGTS-18 b,0.409,1.21,3.05125,NGTS-18,1108.0,10.84
NGTS-20 b,2.98,1.07,54.18915,NGTS-20,366.2,4.1
NGTS-21 b,2.36,1.33,1.5433897,NGTS-21,641.0,10.0
NGTS-23 b,0.613,1.267,4.076,NGTS-23,991.0,6.39
NGTS-24 b,0.52,1.214,3.4678796,NGTS-24,723.0,4.77
NGTS-25 b,0.639,1.023,2.823093,NGTS-25,517.0,3.49
NGTS-26 b,0.29,1.33,4.5199279,NGTS-26,1107.0,11.5
NGTS-27 b,0.593,1.396,3.3704181,NGTS-27,977.0,7.9
NGTS-29 b,0.39,0.857,69.33684,NGTS-29,149.4,2.1
NGTS-2 b,0.67,1.536,4.5111204,NGTS-2,360.3,2.17
NGTS-30 b,0.96,0.93,98.29838,NGTS-30,233.9,1.1
NGTS-6 Ab,1.33,1.271,0.882058,NGTS-6 A,311.0,9.6
NGTS-8 b,0.93,1.09,2.4997,NGTS-8,434.273,12.48
NGTS-9 b,2.9,1.07,4.43527,NGTS-9,619.732,0.96
OGLE2-TR-L9 b,4.34,1.614,2.4855335,OGLE2-TR-L9,1537.0,1.0
OGLE-TR-10 b,0.68,1.72,3.10129,OGLE-TR-10,1248.0,1.1
OGLE-TR-111 b,0.54,1.077,4.01451,OGLE-TR-111,1068.33,1.1
OGLE-TR-113 b,1.24,1.11,1.4324772,OGLE-TR-113,566.459,0.7
OGLE-TR-56 b,1.3,1.2,1.211909,OGLE-TR-56,2252.0,2.0
pi Men c,0.01142,0.16719,6.267852,pi Men,18.37,2.98
PSR 1719-14 b,1.0,0.4,0.090706293,PSR 1719-14,1200.0,12.5
PSR J0636+5129	b,8.5,0.74,0.0665513392,PSR J0636+5129,500.0,13.3
Qatar-10 b,0.736,1.534,1.645321,Qatar-10,539.0,3.2
Qatar-2 b,2.494,1.254,1.33711647,Qatar-2,182.32,5.0
Qatar-3 Ab,4.31,1.096,2.5079204,Qatar-3 A,735.601,0.31
Qatar-6 Ab,0.668,1.062,3.506189,Qatar-6 A,101.0,1.0
Qatar-7 b,1.88,1.7,2.032046,Qatar-7,725.0,1.0
Qatar-8 b,0.371,1.285,3.71495,Qatar-8,276.7,8.3
Qatar-9 b,1.19,1.009,1.540731,Qatar-9,211.4,7.5
Ross 176 b,0.01438,0.1642,5.0066338,Ross 176,46.5,3.0
tau Boo Ab,5.78,1.06,3.31,tau Boo A,15.6521,1.3
TIC 139270665 b,0.463,0.645,23.624,TIC 139270665,147.8,3.4
TIC 172900988 (AB)b,2.84,0.9876,188.763,TIC 172900988 (AB),246.263,3.1
TIC 237913194 b,1.942,1.117,15.168865,TIC 237913194,309.6,5.7
TIC 279401253 b,6.14,1.0,78.8,TIC 279401253,287.1,1.2
TIC 365102760 b,0.0604,0.554,4.21285367,TIC 365102760,555.5,7.2
TIC 434398831 b,0.0208,0.3131,3.685504,TIC 434398831,214.1,0.061
TIC 434398831 c,0.0227,0.5023,6.210291,TIC 434398831,214.1,0.061
TIC 46432937 b,3.2,1.188,1.44044527,TIC 46432937,90.64,7.4
TOI-1052 Ab,0.0532,0.256,9.139703,TOI-1052 A,128.7,2.3
TOI-1062 b,0.032,0.20198,4.11412,TOI-1062,82.2,2.5
TOI-1107 b,3.35,1.3,4.0782387,TOI-1107,283.61,2.6
TOI-1117 b,0.028,0.2195,2.22816,TOI-1117,167.598,4.42
TOI-1130 b,0.0623,0.3265,4.074554,TOI-1130,58.26,8.2
TOI-1130 c,1.057,1.16,8.3501898,TOI-1130,58.26,8.2
TOI-1136 b,0.011,0.17,4.17278,TOI-1136,84.536,0.7
TOI-1136 c,0.01988,0.25685,6.2574,TOI-1136,84.536,0.7
TOI-1136 d,0.02627,0.4128,12.5199,TOI-1136,84.536,0.7
TOI-1136 e,0.0191,0.23544,18.802,TOI-1136,84.536,0.7
TOI-1136 f,0.02586,0.3462,26.3213,TOI-1136,84.536,0.7
TOI-1136 g,0.038,0.2257,39.544,TOI-1136,84.536,0.7
TOI-1173 Ab,0.0821,0.723,7.06387,TOI-1173 A,132.35,8.7
TOI-1199 b,0.239,0.938,3.671463,TOI-1199,247.0,4.2
TOI-1203 Ab,0.01104,0.1356,4.1572888,TOI-1203 A,64.96,12.5
TOI-1203 Ad,0.02325,0.26033,25.502672,TOI-1203 A,64.96,12.5
TOI-1235 b,0.0186,0.15113,3.444717,TOI-1235,39.68,0.8
TOI-1238 b,0.01183,0.1079,0.764597,TOI-1238,70.6424,0.8
TOI-1238 c,0.02618,0.1882,3.294736,TOI-1238,70.6424,0.8
TOI-1259 Ab,0.415,1.035,3.4779792,TOI-1259 A,118.1,4.8
TOI-125 b,0.0299,0.2432,4.65382,TOI-125,111.4,6.8
TOI-125 c,0.02086,0.24614,9.15059,TOI-125,111.4,6.8
TOI-125 d,0.0428,0.2614,19.98,TOI-125,111.4,6.8
TOI-1266 b,0.01381,0.2337,10.894841,TOI-1266,36.05,7.9
TOI-1266 c,0.00934,0.19,18.801611,TOI-1266,36.05,7.9
TOI-1268 b,0.29,0.82,8.1577094,TOI-1268,110.0,0.29
TOI-1273 b,0.222,0.99,4.631296,TOI-1273,176.0,3.1
TOI-1294 b,0.1957,0.8199,3.91529,TOI-1294,332.648,6.1
TOI-1298 b,0.356,0.841,4.537164,TOI-1298,319.0,1.6
TOI-132 Ab,0.0705,0.3051,2.1097019,TOI-132 A,164.47,6.34
TOI-1333 Ab,2.37,1.396,4.720219,TOI-1333 A,200.4,2.33
TOI-1347 b,0.0384,0.161,0.847423431,TOI-1347,147.5,1.7
TOI-1347 c,0.0088,0.143,4.841962,TOI-1347,147.5,1.7
TOI-1408 b,1.866,2.23,4.42587,TOI-1408,139.13,2.7
TOI-1408 c,0.0239,0.1981,2.1664,TOI-1408,139.13,2.7
TOI-1420 b,0.079,1.0608,6.9561063,TOI-1420,201.84,10.7
TOI-1422 b,0.028,0.3533,12.9972,TOI-1422,154.56,5.1
TOI-1431 b,3.14,1.508,2.65022,TOI-1431,149.6,0.29
TOI-1453 Ab,0.0039,0.1044,4.3135225,TOI-1453 A,78.885,12.0
TOI-1453 Ac,0.00928,0.1981,6.5886982,TOI-1453 A,78.885,12.0
TOI-1470 b,0.02303,0.1945,2.527093,TOI-1470,51.9503,1.3
TOI-1470 c,0.02278,0.2204,18.08816,TOI-1470,51.9503,1.3
TOI-1478 b,0.847,1.06,10.180249,TOI-1478,153.0,9.2
TOI-150 b,2.51,1.255,5.857487,TOI-150,336.0,2.346
TOI-1516 Ab,3.16,1.36,2.056014,TOI-1516 A,247.0,4.82
TOI-157 b,1.18,1.286,2.0845435,TOI-157,362.1,12.82
TOI-1601 b,0.99,1.239,5.331751,TOI-1601,336.0,2.64
TOI-1605 b,0.6963,0.9225,8.7099,TOI-1605,159.748,8.3
TOI-163 b,1.22,1.489,4.231306,TOI-163,416.7,1.823
TOI-1670 b,0.0434,0.1838,10.98462,TOI-1670,165.72,2.53
TOI-1670 c,0.58,0.97,40.7750145,TOI-1670,165.72,2.53
TOI-1685 b,0.00966,0.1267,0.66813923,TOI-1685,37.609,1.3
TOI-169 b,0.791,1.086,2.2554477,TOI-169,412.5,4.7
TOI-1710 Ab,0.0579,0.4595,24.283385,TOI-1710 A,81.1376,4.2
TOI-1728 b,0.08426,0.4505,3.49151,TOI-1728,60.8,7.1
TOI-172 Ab,5.41,0.965,9.47721,TOI-172 A,336.47,7.5
TOI-1736 Ab,0.0387,0.2837,7.073091,TOI-1736 A,88.9,4.9
TOI-1739 b,0.013,0.15122,8.303342,TOI-1739,70.98,6.3
TOI-1743 b,0.0145,0.1633,4.266046,TOI-1743,41.31,9.7
TOI-1751 b,0.0538,0.2489,37.468489,TOI-1751,113.6,10.0
TOI-1759 Ab,0.0214,0.273,18.849975,TOI-1759 A,40.12,5.0
TOI-1778 b,0.02637,0.24133,6.527282,TOI-1778,99.0,3.85
TOI-1789 b,0.7,1.4,3.208666,TOI-1789,223.55,2.81
TOI-178 b,0.00472,0.10278,1.914558,TOI-178,63.0,7.1
TOI-178 c,0.01501,0.1489,3.23845,TOI-178,63.0,7.1
TOI-178 d,0.00947,0.22946,6.5577,TOI-178,63.0,7.1
TOI-178 e,0.01214,0.1969,9.961881,TOI-178,63.0,7.1
TOI-178 f,0.02429,0.20403,15.231915,TOI-178,63.0,7.1
TOI-178 g,0.0124,0.256,20.7095,TOI-178,63.0,7.1
TOI-179 Ab,0.0758,0.2436,4.1374386,TOI-179 A,38.585,0.4
TOI-1803 b,0.0324,0.2668,6.293287,TOI-1803,119.0,1.4
TOI-1803 c,0.019,0.3827,12.885779,TOI-1803,119.0,1.4
TOI-1807 b,0.00809,0.1222,0.549374,TOI-1807,42.577,0.18
TOI-1811 b,0.974,1.0,3.7130818,TOI-1811,128.3,6.0
TOI-1820 Ab,2.3,1.12,4.8607,TOI-1820 A,250.0,11.0
TOI-1828 b,0.1841,0.769,9.0941045,TOI-1828,369.986,5.5
TOI-1836 Ab,0.092,0.78188,20.38084,TOI-1836 A,189.23,6.6
TOI-1836 Ac,0.025,0.232,1.7727471,TOI-1836 A,189.23,6.6
TOI-1842 b,0.214,1.04,9.5739,TOI-1842,223.47,2.49
TOI-1846 b,0.0138,0.15987,3.9306737,TOI-1846,47.244,7.2
TOI-1885 b,1.6248,1.2187,6.54406,TOI-1885,560.901,3.7
TOI-1899 b,0.67,0.99,29.090312,TOI-1899,128.4,7.4
TOI-1937 Ab,2.01,1.247,0.94667944,TOI-1937 A,418.7,3.6
TOI-199 Ab,0.17,0.81,104.87236,TOI-199 A,101.7,0.8
TOI-2000 b,0.0324,0.2355,3.098331,TOI-2000,173.6,5.1
TOI-2000 c,0.2382,0.711,9.1270553,TOI-2000,173.6,5.1
TOI-2005 b,6.4,1.07,17.305904,TOI-2005,328.7,1.6
TOI-2010 Ab,1.286,1.054,141.834025,TOI-2010 A,108.26,1.9
TOI-2015 b,0.0289,0.2953,3.348237,TOI-2015,47.32,6.8
TOI-2018 b,0.0289,0.2025,7.435583,TOI-2018,28.038,2.4
TOI-2018 c,0.0113,0.1374,11.244,TOI-2018,28.038,2.4
TOI-2019 b,0.1089,0.505,15.3444,TOI-2019,198.0,6.0
TOI-201 b,0.42,1.0,52.97818,TOI-201,114.2,0.87
TOI-2025 b,4.4,1.12,8.872086,TOI-2025,339.0,1.7
TOI-2031 Ab,0.8,1.267,5.71548654,TOI-2031 A,276.42,2.0
TOI-2068 Ab,0.0138,0.1624,7.768915,TOI-2068 A,52.93,7.0
TOI-2076 b,0.0107,0.2266,10.35523,TOI-2076,41.906,0.21
TOI-2076 c,0.0145,0.2989,21.01549,TOI-2076,41.906,0.21
TOI-2076 d,0.023,0.2935,35.12551,TOI-2076,41.906,0.21
TOI-2084 Ab,0.02121,0.2204,6.0784247,TOI-2084 A,114.29,7.5
TOI-2093 c,0.0497,0.205,53.81149,TOI-2093,82.615,6.6
TOI-2136 b,0.0148,0.1865,7.85191,TOI-2136,33.36,4.6
TOI-2141 b,0.0632,0.28076,18.261608,TOI-2141,77.7,9.0
TOI-2145 b,5.52,1.098,10.261131,TOI-2145,124.6,1.79
TOI-2152 Ab,2.83,1.281,3.3773512,TOI-2152 A,302.8,0.83
TOI-2154 b,0.92,1.453,3.6240801,TOI-2154,296.3,2.9
TOI-2158 b,0.82,0.96,8.60077,TOI-2158,200.0,8.0
TOI-2169 Ab,1.037,1.116,8.2148282,TOI-2169 A,359.8,2.51
TOI-2180 b,2.755,1.01,260.158,TOI-2180,116.3,8.1
TOI-2193 Ab,0.94,1.77,2.1225735,TOI-2193 A,345.3,5.5
TOI-2196 b,0.082,0.3131,1.1947268,TOI-2196,263.98,4.5
TOI-2202 b,0.978,1.0,11.9101,TOI-2202,235.93,7.48
TOI-2207 b,0.64,0.995,8.001968,TOI-2207,380.6,3.3
TOI-220 b,0.0428,0.2694,10.695264,TOI-220,89.0,10.1
TOI-2295 b,0.875,1.47,30.033302,TOI-2295,125.51,10.5
TOI-2322 b,0.00727,0.08868,11.30717,TOI-2322,59.89,3.9
TOI-2322 c,0.0569,0.16719,20.225528,TOI-2322,59.89,3.9
TOI-2337 b,1.0,0.9,2.99432,TOI-2337,540.25,4.9
TOI-2338 b,5.98,1.0,22.65398,TOI-2338,316.0,7.0
TOI-2346 b,1.24,1.438,3.3312029,TOI-2346,436.5,1.9
TOI-2364 b,0.225,0.768,4.0197478,TOI-2364,218.63,3.5
TOI-2373 b,9.3,0.93,13.33668,TOI-2373,509.0,5.9
TOI-2374 Bb,1.194,0.668,4.3136193,TOI-2374 B,134.6,4.1
TOI-2379 b,5.76,1.046,5.4693827,TOI-2379,211.4,10.4
TOI-2382 b,0.74,1.093,4.6612061,TOI-2382,424.3,3.1
