name,mass,radius,orbital_period,star_name,star_distance,star_age
HAT-P-38 b,0.267,0.825,4.640382,HAT-P-38,249.0,10.1
HAT-P-39 Ab,0.599,1.571,3.54387,HAT-P-39 A,642.0,2.0
HAT-P-3 Ab,0.591,0.827,2.899703,HAT-P-3 A,130.0,1.6
HAT-P-40 b,0.615,1.73,4.457243,HAT-P-40,501.0,2.7
HAT-P-41 Ab,0.8,1.685,2.694047,HAT-P-41 A,348.185,2.2
HAT-P-42 b,0.975,1.277,4.641876,HAT-P-42,447.0,5.1
HAT-P-43 b,0.66,1.283,3.332688,HAT-P-43,543.0,5.7
HAT-P-44 Bb,0.392,1.28,4.301217,HAT-P-44 B,374.0,8.9
HAT-P-45 Ab,0.892,1.426,3.128992,HAT-P-45 A,305.0,2.0
HAT-P-46 b,0.493,1.284,4.463129,HAT-P-46,296.0,2.5
HAT-P-47 b,0.206,1.313,4.732182,HAT-P-47,268.0,1.5
HAT-P-48 b,0.168,1.131,4.40865,HAT-P-48,305.0,4.7
HAT-P-49 b,1.73,1.448,2.6915575,HAT-P-49,322.0,1.5
HAT-P-4 b,0.68,1.27,3.0565114,HAT-P-4,310.0,4.2
HAT-P-50 b,1.36,1.288,3.1220109,HAT-P-50,597.0,3.37
HAT-P-51 Ab,0.309,1.293,4.2180278,HAT-P-51 A,470.0,8.2
HAT-P-52 b,0.819,1.009,2.7535953,HAT-P-52,385.0,9.4
HAT-P-53 b,1.487,1.318,1.9616241,HAT-P-53,719.0,4.67
HAT-P-54 b,0.76,0.944,3.799847,HAT-P-54,135.8,3.9
HAT-P-55 b,0.582,1.182,3.5852467,HAT-P-55,480.0,4.2
HAT-P-56 b,2.31,1.51,2.79083,HAT-P-56,323.5,2.01
HAT-P-57 Ab,1.85,1.413,2.465295,HAT-P-57 A,303.0,1.0
HAT-P-58 b,0.372,1.332,4.013837,HAT-P-58,519.0,7.11
HAT-P-59 b,1.54,1.123,4.1419771,HAT-P-59,267.3,7.3
HAT-P-5 b,1.06,1.252,2.788491,HAT-P-5,340.0,1.7
HAT-P-60 b,0.574,1.631,4.7947813,HAT-P-60,235.4,2.765
HAT-P-61 b,1.057,0.899,1.90231289,HAT-P-61,343.2,2.6
HAT-P-62 b,0.761,1.073,2.6453235,HAT-P-62,353.1,8.1
HAT-P-63 b,0.614,1.119,3.377728,HAT-P-63,408.0,9.0
HAT-P-64 b,0.58,1.703,4.007232,HAT-P-64,635.0,2.88
HAT-P-65 b,0.527,1.89,2.6054552,HAT-P-65,841.0,5.46
HAT-P-66 b,0.783,1.59,2.972086,HAT-P-66,927.0,4.66
HAT-P-67 Ab,0.45,2.14,4.8101088,HAT-P-67 A,371.686,1.24
HAT-P-68 b,0.724,1.072,2.29840551,HAT-P-68,202.0,11.1
HAT-P-69 b,3.58,1.676,4.7869491,HAT-P-69,343.9,1.27
HAT-P-6 b,1.11,1.275,3.8529972,HAT-P-6,200.0,2.3
HAT-P-70 b,6.78,1.87,2.74432452,HAT-P-70,329.0,0.6
HAT-P-7 Ab,1.79,1.51,2.20473825,HAT-P-7 A,320.0,2.07
HAT-P-8 Ab,1.35,1.42,3.076318,HAT-P-8 A,211.553,3.4
HAT-P-9 b,0.67,1.4,3.922814,HAT-P-9,480.0,1.6
HATS-10 b,0.526,0.969,3.312846,HATS-10,496.0,3.3
HATS-11 b,0.85,1.609,3.619188,HATS-11,944.603,7.7
HATS-12 b,2.38,0.692,3.142702,HATS-12,512.41,2.36
HATS-13 b,0.543,1.212,3.0440499,HATS-13,476.0,2.5
HATS-14 b,1.071,1.039,2.7667641,HATS-14,513.0,4.9
HATS-15 b,2.17,1.105,1.74748753,HATS-15,689.0,11.0
HATS-16 b,3.27,1.3,2.686502,HATS-16,774.0,9.5
HATS-17 b,1.338,0.777,16.254611,HATS-17,339.0,2.1
HATS-18 b,1.98,1.337,0.8378434,HATS-18,645.0,4.2
HATS-19 b,0.427,1.66,4.569673,HATS-19,780.0,3.94
HATS-1 Ab,1.855,1.302,3.446459,HATS-1 A,303.0,6.0
HATS-20 b,0.273,0.776,3.7992969,HATS-20,454.0,6.4
HATS-21 b,0.332,1.123,3.5543973,HATS-21,286.0,2.3
HATS-22 b,2.74,0.953,4.7228124,HATS-22,207.9,4.6
HATS-23 b,1.47,1.86,2.1605156,HATS-23,747.0,4.2
HATS-24 b,2.44,1.487,1.3484954,HATS-24,510.0,0.88
HATS-25 b,0.613,1.26,4.2986432,HATS-25,466.0,7.5
HATS-26 b,0.65,1.75,3.3023881,HATS-26,907.0,4.04
HATS-27 b,0.53,1.5,4.637038,HATS-27,840.0,2.3
HATS-28 b,0.672,1.194,3.1810781,HATS-28,521.0,6.2
HATS-29 b,0.653,1.251,4.6058749,HATS-29,351.0,5.5
HATS-2 b,1.345,1.168,1.354133,HATS-2,360.0,9.7
HATS-30 Ab,0.706,1.175,3.1743516,HATS-30 A,339.0,2.3
